Country Name	Country Code	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Denmark	DNK	25682.51972	26608.80135	27544.00656	29558.29463	30247.19638	31597.68986	31268.87647	33143.76317	34079.95976	37166.57369	38670.49766	40838.18875	39612.12763	41835.79665	43314.05636	44246.33062	45681.10934	45995.87271	46635.24473
Dominican Republic	DOM	5283.439652	5623.64629	5997.179025	6379.557666	6540.256508	6917.52972	6931.27888	7108.112024	7899.638192	8882.589788	9753.360241	10116.64652	10150.61626	10981.1766	11375.62039	11740.05363	12347.82075	13310.75301	14211.72455
Algeria	DZA	7145.647689	7479.17983	7727.189137	8093.611355	8416.638163	8911.553372	9622.016552	10179.01282	10975.69869	11341.09644	11858.65084	12186.16464	12267.0034	12637.38134	13026.19166	13452.55261	13779.82274	14259.02894	14687.39021
East Asia & Pacific (excluding high income)	EAP	2814.254166	2835.919602	3013.494043	3273.16242	3529.258567	3821.380084	4191.350919	4641.123175	5196.639532	5866.504149	6681.158888	7317.510974	7853.16417	8651.349595	9490.362804	10303.1965	11127.13135	11970.5694	12769.81191
Early-demographic dividend	EAR	3565.538053	3655.156936	3750.465962	3943.831498	4034.414664	4115.478317	4329.452313	4676.753868	5084.476506	5529.027518	5968.06183	6263.855185	6408.565108	6831.463072	7246.742263	7585.732317	7900.717364	8303.734568	8665.099885
East Asia & Pacific	EAS	5033.105401	5016.041408	5253.046521	5638.367007	5934.992676	6299.45255	6710.40961	7285.54791	7917.455481	8693.272098	9623.120158	10237.75826	10621.9783	11550.95565	12417.77037	13269.70624	14125.1092	14922.79705	15692.90621
Europe & Central Asia (excluding high income)	ECA	4866.307785	5200.828368	5362.48185	6031.818451	6369.519235	6806.920778	7517.181322	8438.968283	9534.126512	11386.11775	12660.34052	14546.21407	14060.06714	14955.03735	16822.86936	17616.37711	17549.02694	18224.53647	18061.0758
Europe & Central Asia	ECS	13481.65268	14132.55766	14666.41708	15810.76282	16638.40636	17348.71522	18024.20059	19139.90837	20365.09034	22538.89572	24123.97015	25701.39015	24992.74657	25892.41477	27480.45167	28157.8581	28681.45362	29369.23929	29680.11713
Ecuador	ECU	5940.552251	6079.388543	5768.535656	5855.634754	6120.931848	6360.97068	6555.373235	7169.973366	7664.289831	8110.479754	8366.130132	8920.477364	8889.192349	9163.157909	9926.952496	10512.4367	10997.81887	11413.21297	11388.1569
"Egypt, Arab Rep."	EGY	5177.113336	5348.06362	5659.24772	5989.66348	6227.450846	6353.465917	6563.171063	6890.970026	7297.265761	7895.792084	8531.592455	9159.31538	9485.180355	9897.748551	10071.20526	10252.52298	10402.00384	10571.33526	10891.25775
Euro area	EMU	21738.56113	22758.20885	23635.73863	25061.80851	26342.20007	27180.95914	27678.82449	28740.51288	30043.73553	32507.40681	34448.89493	35840.21861	34877.94596	35909.76487	37274.48583	37729.2815	38581.46764	39283.35882	39961.82244
Eritrea	ERI	1338.250831	1345.146259	1329.1041	1277.34506	1374.249997	1386.625879	1327.699789	1337.520796	1373.42127	1365.039126	1388.50525	1250.467298	1282.333846	1299.289896	1411.157638				
Spain	ESP	18166.37793	19381.03976	20316.23289	21869.54874	23218.8974	24659.0987	25337.11082	26437.85409	27868.95195	30860.71588	32803.37512	33729.51679	32796.66547	32372.85437	32530.09314	32235.59592	32842.42456	33625.42811	34526.5019
Estonia	EST	8003.749939	8479.36004	8776.274324	9706.928198	10548.51403	11805.4692	13237.35675	14664.40247	16560.50223	19299.07841	21836.41229	22508.92841	20206.18071	21113.11961	23954.86597	25921.0286	27169.28665	28139.93944	28094.80495
Ethiopia	ETH	473.6835829	448.8913701	465.6063997	490.7276557	528.0815436	528.859882	512.8753943	581.8370686	653.1160506	725.9606023	808.5189863	889.2679648	949.4938973	1053.796725	1165.216838	1256.682208	1376.964738	1505.238978	1625.613262
European Union	EUU	19516.02844	20381.37039	21148.17815	22557.05847	23751.01913	24660.69388	25289.70405	26497.15307	27735.98687	30047.92311	31836.02984	33150.63036	32362.78756	33249.3762	34555.74837	35158.86397	36128.66114	36897.73973	37676.47014
Fragile and conflict affected situations	FCS	2045.449384	2306.024484	2470.519803	2507.92002	2561.300068	2491.044254	2302.384843	2665.692998	2845.141277	3044.57962	3195.593813	3346.862618	3421.531366	3563.329926	3307.578312	3697.511061	3790.056076	3726.571595	3743.003904
Finland	FIN	21572.59781	23267.5124	24501.77991	26465.7522	27541.94102	28421.23989	28816.11926	31084.28922	32065.17072	34502.26656	37505.13094	39729.64854	37534.50193	38322.92674	40251.37351	40437.59387	40951.51324	40693.75124	40600.91892
Fiji	FJI	5041.844671	5114.724898	5606.685636	5603.92492	5824.782103	6092.40994	6268.84914	6768.279872	7005.299876	7304.77115	7370.011223	7515.86589	7392.165401	7630.988846	7486.761437	7688.777866	8173.419205	8824.608977	9158.987188
France	FRA	22220.0293	23321.09341	24249.71166	25972.1999	27427.59135	28503.56674	28093.4086	29028.18225	30375.56068	32267.01406	34034.38518	35141.83794	34797.47409	35891.29382	37325.30434	37462.32503	39157.67133	39163.1945	39677.99212
"Micronesia, Fed. Sts."	FSM	2169.601209	2263.602896	2339.295593	2510.505151	2618.918312	2679.749903	2787.440989	2777.808993	2939.534421	3039.720826	3073.794899	3071.641995	3140.10039	3269.641343	3410.284084	3491.347808	3415.223679	3342.691954	
Gabon	GAB	15631.09536	15942.22224	14381.17485	14090.04663	14381.52556	14241.02437	14525.7852	14699.89337	15418.57284	14976.12856	15884.175	15310.98903	15102.1649	16004.05452	17100.70052	17919.06448	18808.28602	19501.11764	20010.13975
